기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,대구광역시,관광총소비,0000,2319791.0,1986504.0
201901,대구광역시,호텔,1001,863053.0,707198.0
201901,대구광역시,콘도,1002,0.0,0.0
201901,대구광역시,캠핑장/펜션,1003,0.0,0.0
201901,대구광역시,기타숙박,1004,141986.0,128073.0
201901,대구광역시,여행업,2001,1340.0,0.0
201901,대구광역시,육상운송,3001,0.0,0.0
201901,대구광역시,수상운송,3002,0.0,0.0
201901,대구광역시,항공운송,3003,0.0,0.0
201901,대구광역시,렌터카,3004,2032.0,880.0
201901,대구광역시,면세점,4001,0.0,0.0
201901,대구광역시,관광기념품,4002,83844.0,1572.0
201901,대구광역시,레저용품쇼핑,4003,46918.0,45361.0
201901,대구광역시,대형쇼핑몰,4004,698102.0,694899.0
201901,대구광역시,카지노,5001,0.0,0.0
201901,대구광역시,관광유원시설,5002,8427.0,2800.0
201901,대구광역시,골프장,5003,200.0,995.0
201901,대구광역시,스키장,5004,0.0,0.0
201901,대구광역시,기타레저,5005,0.0,1018.0
201901,대구광역시,문화서비스,5006,2398.0,3248.0
201901,대구광역시,식음료,6001,471492.0,400461.0
201902,대구광역시,관광총소비,0000,2598491.0,1832509.0
201902,대구광역시,호텔,1001,1214756.0,599741.0
201902,대구광역시,콘도,1002,0.0,0.0
201902,대구광역시,캠핑장/펜션,1003,0.0,0.0
201902,대구광역시,기타숙박,1004,144439.0,105769.0
201902,대구광역시,여행업,2001,0.0,5.0
201902,대구광역시,육상운송,3001,550.0,0.0
201902,대구광역시,수상운송,3002,0.0,0.0
201902,대구광역시,항공운송,3003,0.0,0.0
201902,대구광역시,렌터카,3004,1400.0,1663.0
201902,대구광역시,면세점,4001,0.0,0.0
201902,대구광역시,관광기념품,4002,69416.0,1034.0
201902,대구광역시,레저용품쇼핑,4003,43994.0,71859.0
201902,대구광역시,대형쇼핑몰,4004,673844.0,625984.0
201902,대구광역시,카지노,5001,0.0,0.0
201902,대구광역시,관광유원시설,5002,4406.0,3435.0
201902,대구광역시,골프장,5003,2710.0,481.0
201902,대구광역시,스키장,5004,0.0,0.0
201902,대구광역시,기타레저,5005,146.0,639.0
201902,대구광역시,문화서비스,5006,3374.0,6011.0
201902,대구광역시,식음료,6001,439455.0,415889.0
201903,대구광역시,관광총소비,0000,3590525.0,2837005.0
201903,대구광역시,호텔,1001,1625165.0,1192807.0
201903,대구광역시,콘도,1002,0.0,0.0
201903,대구광역시,캠핑장/펜션,1003,0.0,0.0
201903,대구광역시,기타숙박,1004,287160.0,174371.0
201903,대구광역시,여행업,2001,388.0,808.0
201903,대구광역시,육상운송,3001,0.0,0.0
201903,대구광역시,수상운송,3002,0.0,0.0
201903,대구광역시,항공운송,3003,0.0,0.0
201903,대구광역시,렌터카,3004,5826.0,2920.0
201903,대구광역시,면세점,4001,0.0,0.0
201903,대구광역시,관광기념품,4002,77191.0,1181.0
201903,대구광역시,레저용품쇼핑,4003,63822.0,92556.0
201903,대구광역시,대형쇼핑몰,4004,866946.0,718229.0
201903,대구광역시,카지노,5001,0.0,0.0
201903,대구광역시,관광유원시설,5002,8475.0,5660.0
201903,대구광역시,골프장,5003,2281.0,648.0
201903,대구광역시,스키장,5004,0.0,0.0
201903,대구광역시,기타레저,5005,69.0,58.0
201903,대구광역시,문화서비스,5006,4441.0,2826.0
201903,대구광역시,식음료,6001,648760.0,644941.0
201904,대구광역시,관광총소비,0000,3981835.0,3266775.0
201904,대구광역시,호텔,1001,1669098.0,1199994.0
201904,대구광역시,콘도,1002,0.0,0.0
201904,대구광역시,캠핑장/펜션,1003,0.0,0.0
201904,대구광역시,기타숙박,1004,339589.0,258834.0
201904,대구광역시,여행업,2001,1886.0,6.0
201904,대구광역시,육상운송,3001,0.0,0.0
201904,대구광역시,수상운송,3002,0.0,0.0
201904,대구광역시,항공운송,3003,0.0,0.0
201904,대구광역시,렌터카,3004,6266.0,1232.0
201904,대구광역시,면세점,4001,0.0,0.0
201904,대구광역시,관광기념품,4002,146167.0,571.0
201904,대구광역시,레저용품쇼핑,4003,62290.0,77074.0
201904,대구광역시,대형쇼핑몰,4004,1005555.0,982540.0
201904,대구광역시,카지노,5001,0.0,0.0
201904,대구광역시,관광유원시설,5002,9768.0,6831.0
201904,대구광역시,골프장,5003,1591.0,947.0
201904,대구광역시,스키장,5004,0.0,0.0
201904,대구광역시,기타레저,5005,138.0,81.0
201904,대구광역시,문화서비스,5006,6481.0,3112.0
201904,대구광역시,식음료,6001,733007.0,735554.0
201905,대구광역시,관광총소비,0000,3628043.0,2684061.0
201905,대구광역시,호텔,1001,1435407.0,886967.0
201905,대구광역시,콘도,1002,0.0,0.0
201905,대구광역시,캠핑장/펜션,1003,0.0,944.0
201905,대구광역시,기타숙박,1004,266653.0,200110.0
201905,대구광역시,여행업,2001,2014.0,960.0
201905,대구광역시,육상운송,3001,0.0,0.0
201905,대구광역시,수상운송,3002,0.0,0.0
201905,대구광역시,항공운송,3003,0.0,0.0
201905,대구광역시,렌터카,3004,13749.0,4551.0
201905,대구광역시,면세점,4001,0.0,0.0
201905,대구광역시,관광기념품,4002,96611.0,972.0
201905,대구광역시,레저용품쇼핑,4003,54990.0,141010.0
201905,대구광역시,대형쇼핑몰,4004,1070586.0,749297.0
201905,대구광역시,카지노,5001,0.0,0.0
201905,대구광역시,관광유원시설,5002,11681.0,5494.0
201905,대구광역시,골프장,5003,599.0,1281.0
201905,대구광역시,스키장,5004,0.0,0.0
201905,대구광역시,기타레저,5005,0.0,908.0
201905,대구광역시,문화서비스,5006,4513.0,2910.0
201905,대구광역시,식음료,6001,671238.0,688655.0
201906,대구광역시,관광총소비,0000,3199607.0,2784431.0
201906,대구광역시,호텔,1001,1096405.0,977475.0
201906,대구광역시,콘도,1002,0.0,0.0
201906,대구광역시,캠핑장/펜션,1003,0.0,0.0
201906,대구광역시,기타숙박,1004,257984.0,215097.0
201906,대구광역시,여행업,2001,3528.0,4.0
201906,대구광역시,육상운송,3001,0.0,0.0
201906,대구광역시,수상운송,3002,0.0,0.0
201906,대구광역시,항공운송,3003,0.0,0.0
201906,대구광역시,렌터카,3004,6613.0,1670.0
201906,대구광역시,면세점,4001,0.0,0.0
201906,대구광역시,관광기념품,4002,99012.0,744.0
201906,대구광역시,레저용품쇼핑,4003,68109.0,72061.0
201906,대구광역시,대형쇼핑몰,4004,969697.0,899677.0
201906,대구광역시,카지노,5001,0.0,0.0
201906,대구광역시,관광유원시설,5002,8818.0,7600.0
201906,대구광역시,골프장,5003,1092.0,888.0
201906,대구광역시,스키장,5004,0.0,0.0
201906,대구광역시,기타레저,5005,138.0,1754.0
201906,대구광역시,문화서비스,5006,5340.0,1390.0
201906,대구광역시,식음료,6001,682872.0,606071.0
201907,대구광역시,관광총소비,0000,3301058.0,3321971.0
201907,대구광역시,호텔,1001,1321213.0,972186.0
201907,대구광역시,콘도,1002,0.0,0.0
201907,대구광역시,캠핑장/펜션,1003,0.0,0.0
201907,대구광역시,기타숙박,1004,271635.0,216688.0
201907,대구광역시,여행업,2001,1320.0,30493.0
201907,대구광역시,육상운송,3001,0.0,0.0
201907,대구광역시,수상운송,3002,0.0,0.0
201907,대구광역시,항공운송,3003,0.0,0.0
201907,대구광역시,렌터카,3004,10244.0,3240.0
201907,대구광역시,면세점,4001,0.0,0.0
201907,대구광역시,관광기념품,4002,119053.0,186.0
201907,대구광역시,레저용품쇼핑,4003,44180.0,61158.0
201907,대구광역시,대형쇼핑몰,4004,896003.0,1469385.0
201907,대구광역시,카지노,5001,0.0,0.0
201907,대구광역시,관광유원시설,5002,10271.0,5794.0
201907,대구광역시,골프장,5003,1437.0,2018.0
201907,대구광역시,스키장,5004,0.0,0.0
201907,대구광역시,기타레저,5005,340.0,793.0
201907,대구광역시,문화서비스,5006,7913.0,3203.0
201907,대구광역시,식음료,6001,617450.0,556828.0
201908,대구광역시,관광총소비,0000,3365389.0,3041890.0
201908,대구광역시,호텔,1001,1324700.0,1388777.0
201908,대구광역시,콘도,1002,0.0,0.0
201908,대구광역시,캠핑장/펜션,1003,0.0,0.0
201908,대구광역시,기타숙박,1004,298170.0,218537.0
201908,대구광역시,여행업,2001,900.0,1550.0
201908,대구광역시,육상운송,3001,0.0,0.0
201908,대구광역시,수상운송,3002,0.0,0.0
201908,대구광역시,항공운송,3003,0.0,0.0
201908,대구광역시,렌터카,3004,10717.0,4435.0
201908,대구광역시,면세점,4001,0.0,0.0
201908,대구광역시,관광기념품,4002,108960.0,1120.0
201908,대구광역시,레저용품쇼핑,4003,56382.0,45640.0
201908,대구광역시,대형쇼핑몰,4004,901913.0,837071.0
201908,대구광역시,카지노,5001,0.0,0.0
201908,대구광역시,관광유원시설,5002,9690.0,7165.0
201908,대구광역시,골프장,5003,485.0,582.0
201908,대구광역시,스키장,5004,0.0,0.0
201908,대구광역시,기타레저,5005,719.0,586.0
201908,대구광역시,문화서비스,5006,2783.0,1675.0
201908,대구광역시,식음료,6001,649971.0,534753.0
201909,대구광역시,관광총소비,0000,3607616.0,2634494.0
201909,대구광역시,호텔,1001,1396824.0,884143.0
201909,대구광역시,콘도,1002,0.0,0.0
201909,대구광역시,캠핑장/펜션,1003,0.0,0.0
201909,대구광역시,기타숙박,1004,309657.0,211469.0
201909,대구광역시,여행업,2001,3666.0,9307.0
201909,대구광역시,육상운송,3001,0.0,0.0
201909,대구광역시,수상운송,3002,0.0,0.0
201909,대구광역시,항공운송,3003,0.0,0.0
201909,대구광역시,렌터카,3004,8092.0,6703.0
201909,대구광역시,면세점,4001,0.0,0.0
201909,대구광역시,관광기념품,4002,74011.0,692.0
201909,대구광역시,레저용품쇼핑,4003,75475.0,60411.0
201909,대구광역시,대형쇼핑몰,4004,1041280.0,825328.0
201909,대구광역시,카지노,5001,0.0,0.0
201909,대구광역시,관광유원시설,5002,8900.0,6470.0
201909,대구광역시,골프장,5003,601.0,1515.0
201909,대구광역시,스키장,5004,0.0,0.0
201909,대구광역시,기타레저,5005,0.0,0.0
201909,대구광역시,문화서비스,5006,3049.0,1389.0
201909,대구광역시,식음료,6001,686061.0,627067.0
201910,대구광역시,관광총소비,0000,3652492.0,3525530.0
201910,대구광역시,호텔,1001,1310498.0,1480290.0
201910,대구광역시,콘도,1002,0.0,0.0
201910,대구광역시,캠핑장/펜션,1003,0.0,0.0
201910,대구광역시,기타숙박,1004,363950.0,257142.0
201910,대구광역시,여행업,2001,750.0,2434.0
201910,대구광역시,육상운송,3001,0.0,0.0
201910,대구광역시,수상운송,3002,0.0,0.0
201910,대구광역시,항공운송,3003,0.0,0.0
201910,대구광역시,렌터카,3004,7554.0,11656.0
201910,대구광역시,면세점,4001,0.0,0.0
201910,대구광역시,관광기념품,4002,69622.0,127656.0
201910,대구광역시,레저용품쇼핑,4003,80078.0,63128.0
201910,대구광역시,대형쇼핑몰,4004,1069674.0,959883.0
201910,대구광역시,카지노,5001,0.0,0.0
201910,대구광역시,관광유원시설,5002,11280.0,6510.0
201910,대구광역시,골프장,5003,630.0,325.0
201910,대구광역시,스키장,5004,0.0,0.0
201910,대구광역시,기타레저,5005,0.0,27.0
201910,대구광역시,문화서비스,5006,4768.0,2462.0
201910,대구광역시,식음료,6001,733688.0,614017.0
201911,대구광역시,관광총소비,0000,4173556.0,3330408.0
201911,대구광역시,호텔,1001,1626643.0,1175305.0
201911,대구광역시,콘도,1002,0.0,0.0
201911,대구광역시,캠핑장/펜션,1003,0.0,0.0
201911,대구광역시,기타숙박,1004,366858.0,263051.0
201911,대구광역시,여행업,2001,420.0,3880.0
201911,대구광역시,육상운송,3001,0.0,0.0
201911,대구광역시,수상운송,3002,0.0,0.0
201911,대구광역시,항공운송,3003,0.0,0.0
201911,대구광역시,렌터카,3004,18882.0,4586.0
201911,대구광역시,면세점,4001,0.0,0.0
201911,대구광역시,관광기념품,4002,101004.0,118427.0
201911,대구광역시,레저용품쇼핑,4003,63145.0,70046.0
201911,대구광역시,대형쇼핑몰,4004,1231704.0,1019710.0
201911,대구광역시,카지노,5001,0.0,0.0
201911,대구광역시,관광유원시설,5002,10366.0,4663.0
201911,대구광역시,골프장,5003,665.0,626.0
201911,대구광역시,스키장,5004,0.0,0.0
201911,대구광역시,기타레저,5005,200.0,0.0
201911,대구광역시,문화서비스,5006,3310.0,1967.0
201911,대구광역시,식음료,6001,750360.0,668147.0
201912,대구광역시,관광총소비,0000,3835668.0,3141015.0
201912,대구광역시,호텔,1001,1176328.0,915666.0
201912,대구광역시,콘도,1002,0.0,0.0
201912,대구광역시,캠핑장/펜션,1003,0.0,0.0
201912,대구광역시,기타숙박,1004,212987.0,221371.0
201912,대구광역시,여행업,2001,0.0,2583.0
201912,대구광역시,육상운송,3001,0.0,0.0
201912,대구광역시,수상운송,3002,0.0,0.0
201912,대구광역시,항공운송,3003,0.0,0.0
201912,대구광역시,렌터카,3004,8299.0,5954.0
201912,대구광역시,면세점,4001,0.0,0.0
201912,대구광역시,관광기념품,4002,120500.0,122989.0
201912,대구광역시,레저용품쇼핑,4003,61726.0,52482.0
201912,대구광역시,대형쇼핑몰,4004,1512069.0,1161609.0
201912,대구광역시,카지노,5001,0.0,0.0
201912,대구광역시,관광유원시설,5002,7741.0,7329.0
201912,대구광역시,골프장,5003,1035.0,614.0
201912,대구광역시,스키장,5004,0.0,0.0
201912,대구광역시,기타레저,5005,0.0,0.0
201912,대구광역시,문화서비스,5006,5518.0,3261.0
201912,대구광역시,식음료,6001,729465.0,647159.0
