,시도명,시군구명,쇼핑몰 수
0,강원도,강릉시,13
1,강원도,동해시,3
2,강원도,삼척시,5
3,강원도,속초시,5
4,강원도,영월군,1
5,강원도,원주시,14
6,강원도,정선군,3
7,강원도,철원군,4
8,강원도,춘천시,22
9,강원도,태백시,4
10,강원도,평창군,1
11,강원도,홍천군,6
12,강원도,화천군,1
13,강원도,횡성군,1
14,경기도,고양시 덕양구,13
15,경기도,고양시 일산동구,20
16,경기도,고양시 일산서구,24
17,경기도,과천시,8
18,경기도,광명시,18
19,경기도,광주시,5
20,경기도,구리시,11
21,경기도,군포시,14
22,경기도,김포시,16
23,경기도,남양주시,11
24,경기도,동두천시,3
25,경기도,부천시,21
26,경기도,부천시 상동,3
27,경기도,부천시 심곡본동,2
28,경기도,부천시 중동,4
29,경기도,부천시 춘의동,1
30,경기도,성남시 분당구,49
31,경기도,성남시 수정구,12
32,경기도,성남시 중원구,6
33,경기도,수원시 권선구,10
34,경기도,수원시 영통구,15
35,경기도,수원시 장안구,9
36,경기도,수원시 팔달구,12
37,경기도,시흥시,16
38,경기도,안산시 단원구,27
39,경기도,안산시 상록구,8
40,경기도,안성시,9
41,경기도,안양시 동안구,14
42,경기도,안양시 만안구,14
43,경기도,양주시,3
44,경기도,양평군,1
45,경기도,여주시,3
46,경기도,연천군,1
47,경기도,오산시,7
48,경기도,용인시 기흥구,15
49,경기도,용인시 수지구,7
50,경기도,용인시 처인구,6
51,경기도,의왕시,4
52,경기도,의정부시,11
53,경기도,이천시,11
54,경기도,파주시,16
55,경기도,평택시,10
56,경기도,포천시,5
57,경기도,하남시,15
58,경기도,화성군,1
59,경기도,화성시,15
60,경상남도,거제시,17
61,경상남도,고성군,1
62,경상남도,김해시,29
63,경상남도,남해군,1
64,경상남도,마산시,34
65,경상남도,밀양시,2
66,경상남도,사천시,10
67,경상남도,양산시,22
68,경상남도,진주시,29
69,경상남도,진해시,1
70,경상남도,창녕군,1
71,경상남도,창원시,29
72,경상남도,창원시 마산합포구,8
73,경상남도,창원시 마산회원구,13
74,경상남도,창원시 성산구,21
75,경상남도,창원시 의창구,9
76,경상남도,창원시 진해구,4
77,경상남도,통영시,12
78,경상남도,함안군,3
79,경상남도,함양군,2
80,경상남도,합천군,1
81,경상북도,경산시,7
82,경상북도,경주시,16
83,경상북도,구미시,11
84,경상북도,김천시,6
85,경상북도,문경시,5
86,경상북도,봉화군,1
87,경상북도,상주시,2
88,경상북도,성주군,2
89,경상북도,안동시,5
90,경상북도,영주시,10
91,경상북도,영천시,6
92,경상북도,청도군,1
93,경상북도,포항시 남구,13
94,경상북도,포항시 북구,38
95,광주광역시,광산구,8
96,광주광역시,남구,8
97,광주광역시,동구,22
98,광주광역시,북구,15
99,광주광역시,서구,19
100,대구광역시,남구,1
101,대구광역시,달서구,31
102,대구광역시,달성군,3
103,대구광역시,동구,13
104,대구광역시,북구,34
105,대구광역시,서구,21
106,대구광역시,수성구,25
107,대구광역시,중구,25
108,대전광역시,대덕구,14
109,대전광역시,동구,36
110,대전광역시,서구,35
111,대전광역시,유성구,13
112,대전광역시,중구,24
113,부산광역시,강서구,7
114,부산광역시,금정구,8
115,부산광역시,기장군,12
116,부산광역시,남구,22
117,부산광역시,동구,7
118,부산광역시,동래구,31
119,부산광역시,부산진구,47
120,부산광역시,북구,19
121,부산광역시,사상구,24
122,부산광역시,사하구,28
123,부산광역시,서구,10
124,부산광역시,수영구,3
125,부산광역시,연제구,19
126,부산광역시,영도구,2
127,부산광역시,중구,18
128,부산광역시,해운대구,51
129,서울특별시,강남구,48
130,서울특별시,강동구,26
131,서울특별시,강북구,19
132,서울특별시,강서구,25
133,서울특별시,관악구,23
134,서울특별시,광진구,26
135,서울특별시,구로구,39
136,서울특별시,금천구,24
137,서울특별시,노원구,20
138,서울특별시,도봉구,15
139,서울특별시,동대문구,32
140,서울특별시,동작구,16
141,서울특별시,마포구,29
142,서울특별시,서대문구,19
143,서울특별시,서초구,23
144,서울특별시,성동구,20
145,서울특별시,성북구,36
146,서울특별시,송파구,45
147,서울특별시,양천구,24
148,서울특별시,영등포구,45
149,서울특별시,용산구,25
150,서울특별시,은평구,25
151,서울특별시,종로구,22
152,서울특별시,중구,66
153,서울특별시,중랑구,14
154,세종특별자치시,가람동,2
155,세종특별자치시,금남면,1
156,세종특별자치시,대평동,2
157,세종특별자치시,보람동,1
158,세종특별자치시,어진동,4
159,세종특별자치시,조치원읍,1
160,울산광역시,남구,16
161,울산광역시,동구,3
162,울산광역시,북구,13
163,울산광역시,울주군,4
164,울산광역시,중구,5
165,인천광역시,강화군,2
166,인천광역시,계양구,11
167,인천광역시,남구,29
168,인천광역시,남동구,29
169,인천광역시,동구,8
170,인천광역시,미추홀구,5
171,인천광역시,부평구,28
172,인천광역시,서구,15
173,인천광역시,연수구,18
174,인천광역시,중구,13
175,전라남도,고흥군,1
176,전라남도,곡성군,1
177,전라남도,광양시,5
178,전라남도,나주시,1
179,전라남도,목포시,14
180,전라남도,무안군,3
181,전라남도,순천시,34
182,전라남도,여수시,5
183,전라남도,완도군,6
184,전라남도,장성군,1
185,전라남도,장흥군,1
186,전라북도,,1
187,전라북도,군산시,7
188,전라북도,김제시,10
189,전라북도,남원시,3
190,전라북도,부안군,2
191,전라북도,익산시,6
192,전라북도,임실군,8
193,전라북도,전주시 덕진구,7
194,전라북도,전주시 완산구,15
195,전라북도,정읍시,1
196,전라북도,진안군,3
197,제주특별자치도,서귀포시,12
198,제주특별자치도,제주시,31
199,충청남도,계룡시,1
200,충청남도,공주시,2
201,충청남도,금산군,1
202,충청남도,논산시,5
203,충청남도,당진군,1
204,충청남도,당진시,3
205,충청남도,보령시,6
206,충청남도,부여군,1
207,충청남도,서산시,11
208,충청남도,아산시,11
209,충청남도,예산군,4
210,충청남도,천안시,9
211,충청남도,천안시 동남구,10
212,충청남도,천안시 서북구,15
213,충청남도,태안군,1
214,충청남도,홍성군,3
215,충청북도,음성군,1
216,충청북도,제천시,5
217,충청북도,증평군,1
218,충청북도,진천군,1
219,충청북도,청주시 상당구,12
220,충청북도,청주시 서원구,11
221,충청북도,청주시 청원구,9
222,충청북도,청주시 흥덕구,13
223,충청북도,충주시,11
