,시도명,시군구명,식당 수
0,강원도,강릉시,6841
1,강원도,고성군,982
2,강원도,동해시,2381
3,강원도,삼척시,1650
4,강원도,속초시,3065
5,강원도,양구군,574
6,강원도,양양군,1082
7,강원도,영월군,930
8,강원도,원주시,7820
9,강원도,인제군,1184
10,강원도,정선군,1268
11,강원도,철원군,1173
12,강원도,춘천시,6033
13,강원도,태백시,965
14,강원도,평창군,1626
15,강원도,홍천군,1960
16,강원도,화천군,752
17,강원도,횡성군,1306
18,경기도,가평군,2144
19,경기도,고양시 덕양구,4995
20,경기도,고양시 일산동구,4153
21,경기도,고양시 일산서구,3068
22,경기도,과천시,607
23,경기도,광명시,2827
24,경기도,광주시,5504
25,경기도,구리시,2783
26,경기도,군포시,2539
27,경기도,김포시,7245
28,경기도,남양주시,9157
29,경기도,동두천시,1782
30,경기도,부천시,8265
31,경기도,성남시 분당구,6277
32,경기도,성남시 수정구,3306
33,경기도,성남시 중원구,2865
34,경기도,수원시 권선구,4040
35,경기도,수원시 영통구,4296
36,경기도,수원시 장안구,2960
37,경기도,수원시 팔달구,4074
38,경기도,시흥시,7184
39,경기도,안산시,2
40,경기도,안산시 단원구,5285
41,경기도,안산시 상록구,3959
42,경기도,안성시,3666
43,경기도,안양시 동안구,3946
44,경기도,안양시 만안구,2980
45,경기도,양주시,4194
46,경기도,양평군,2711
47,경기도,여주시,2775
48,경기도,연천군,1060
49,경기도,오산시,3383
50,경기도,용인시,1
51,경기도,용인시 기흥구,4431
52,경기도,용인시 수지구,2956
53,경기도,용인시 처인구,4681
54,경기도,의왕시,1385
55,경기도,의정부시,5852
56,경기도,이천시,5052
57,경기도,파주시,8111
58,경기도,평택시,9627
59,경기도,포천시,4367
60,경기도,하남시,4178
61,경기도,화성시,12085
62,경상남도,거제시,4961
63,경상남도,거창군,1267
64,경상남도,고성군,1257
65,경상남도,김해시,8083
66,경상남도,남해군,1189
67,경상남도,밀양시,2374
68,경상남도,사천시,2605
69,경상남도,산청군,786
70,경상남도,양산시,5719
71,경상남도,의령군,556
72,경상남도,진주시,6757
73,경상남도,창녕군,1546
74,경상남도,창원시,6
75,경상남도,창원시 마산합포구,3971
76,경상남도,창원시 마산회원구,3235
77,경상남도,창원시 성산구,4350
78,경상남도,창원시 의창구,4129
79,경상남도,창원시 진해구,3709
80,경상남도,통영시,3261
81,경상남도,하동군,1200
82,경상남도,함안군,1170
83,경상남도,함양군,810
84,경상남도,합천군,907
85,경상북도,경산시,4816
86,경상북도,경주시,6992
87,경상북도,고령군,518
88,경상북도,구미시,7093
89,경상북도,군위군,436
90,경상북도,김천시,2291
91,경상북도,문경시,1534
92,경상북도,봉화군,549
93,경상북도,상주시,1763
94,경상북도,성주군,948
95,경상북도,안동시,3410
96,경상북도,영덕군,1313
97,경상북도,영양군,225
98,경상북도,영주시,2054
99,경상북도,영천시,1782
100,경상북도,예천군,883
101,경상북도,울릉군,302
102,경상북도,울진군,1333
103,경상북도,의성군,796
104,경상북도,청도군,885
105,경상북도,청송군,651
106,경상북도,칠곡군,2354
107,경상북도,포항시 남구,5237
108,경상북도,포항시 북구,4557
109,광주광역시,광산구,6765
110,광주광역시,남구,2785
111,광주광역시,동구,3041
112,광주광역시,북구,6646
113,광주광역시,서구,4786
114,대구광역시,남구,2797
115,대구광역시,달서구,7716
116,대구광역시,달성군,3688
117,대구광역시,동구,5372
118,대구광역시,북구,5914
119,대구광역시,서구,2831
120,대구광역시,수성구,4995
121,대구광역시,중구,3625
122,대전광역시,대덕구,2976
123,대전광역시,동구,3506
124,대전광역시,서구,7672
125,대전광역시,유성구,6575
126,대전광역시,중구,3971
127,부산광역시,강서구,2895
128,부산광역시,금정구,3559
129,부산광역시,기장군,3406
130,부산광역시,남구,3672
131,부산광역시,동구,1809
132,부산광역시,동래구,3804
133,부산광역시,부산진구,6698
134,부산광역시,북구,3148
135,부산광역시,사상구,2889
136,부산광역시,사하구,4159
137,부산광역시,서구,1551
138,부산광역시,수영구,3518
139,부산광역시,연제구,2703
140,부산광역시,영도구,1712
141,부산광역시,중구,2068
142,부산광역시,해운대구,6266
143,서울특별시,강남구,12270
144,서울특별시,강동구,4888
145,서울특별시,강북구,3525
146,서울특별시,강서구,6675
147,서울특별시,관악구,4806
148,서울특별시,광진구,4746
149,서울특별시,구로구,4500
150,서울특별시,금천구,3184
151,서울특별시,노원구,4091
152,서울특별시,도봉구,2686
153,서울특별시,동대문구,4140
154,서울특별시,동작구,3389
155,서울특별시,마포구,8183
156,서울특별시,서대문구,3976
157,서울특별시,서초구,6302
158,서울특별시,성동구,4020
159,서울특별시,성북구,4257
160,서울특별시,송파구,7641
161,서울특별시,양천구,3748
162,서울특별시,영등포구,5761
163,서울특별시,용산구,4570
164,서울특별시,은평구,4431
165,서울특별시,종로구,5225
166,서울특별시,중구,4967
167,서울특별시,중랑구,3790
168,세종특별자치시,세종특별자치시,4874
169,울산광역시,남구,6516
170,울산광역시,동구,2202
171,울산광역시,북구,3045
172,울산광역시,울주군,4056
173,울산광역시,중구,3227
174,인천광역시,강화군,1907
175,인천광역시,계양구,3370
176,인천광역시,남동구,6766
177,인천광역시,동구,824
178,인천광역시,미추홀구,4833
179,인천광역시,부평구,5927
180,인천광역시,서구,6498
181,인천광역시,연수구,4790
182,인천광역시,옹진군,727
183,인천광역시,중구,4201
184,전라남도,강진군,798
185,전라남도,고흥군,1401
186,전라남도,곡성군,550
187,전라남도,광양시,3581
188,전라남도,구례군,802
189,전라남도,나주시,1608
190,전라남도,담양군,1092
191,전라남도,목포시,5614
192,전라남도,무안군,1840
193,전라남도,보성군,936
194,전라남도,순천시,6188
195,전라남도,신안군,760
196,전라남도,여수시,6821
197,전라남도,영광군,1196
198,전라남도,영암군,1208
199,전라남도,완도군,1495
200,전라남도,장성군,765
201,전라남도,장흥군,886
202,전라남도,진도군,732
203,전라남도,함평군,497
204,전라남도,해남군,1543
205,전라남도,화순군,1049
206,전라북도,고창군,1026
207,전라북도,군산시,4924
208,전라북도,김제시,1434
209,전라북도,남원시,1878
210,전라북도,무주군,672
211,전라북도,부안군,1270
212,전라북도,순창군,485
213,전라북도,완주군,2065
214,전라북도,익산시,5223
215,전라북도,임실군,656
216,전라북도,장수군,450
217,전라북도,전주시 덕진구,5687
218,전라북도,전주시 완산구,7406
219,전라북도,정읍시,1990
220,전라북도,진안군,386
221,제주특별자치도,서귀포시,7026
222,제주특별자치도,제주시,14877
223,충청남도,계룡시,690
224,충청남도,공주시,2873
225,충청남도,금산군,1157
226,충청남도,논산시,2559
227,충청남도,당진시,3705
228,충청남도,보령시,2693
229,충청남도,부여군,1132
230,충청남도,서산시,3488
231,충청남도,서천군,1060
232,충청남도,아산시,5314
233,충청남도,예산군,1725
234,충청남도,천안시 동남구,4801
235,충청남도,천안시 서북구,7271
236,충청남도,청양군,693
237,충청남도,태안군,1852
238,충청남도,홍성군,2385
239,충청북도,괴산군,984
240,충청북도,단양군,792
241,충청북도,보은군,733
242,충청북도,영동군,945
243,충청북도,옥천군,955
244,충청북도,음성군,2629
245,충청북도,제천시,2998
246,충청북도,증평군,742
247,충청북도,진천군,1711
248,충청북도,청주시 상당구,3466
249,충청북도,청주시 서원구,2858
250,충청북도,청주시 청원구,2960
251,충청북도,청주시 흥덕구,5270
252,충청북도,충주시,5400
